werkzeug - WARNING -  * Debugger is active!
werkzeug - INFO -  * Debugger PIN: 551-811-216
werkzeug - INFO -  * Detected change in 'J:\\Final Project\\For edit\\multi_disease_system\\project_app\\routes.py', reloading
werkzeug - INFO -  * Detected change in 'J:\\Final Project\\For edit\\multi_disease_system\\project_app\\routes.py', reloading
werkzeug - INFO -  * Detected change in 'J:\\Final Project\\For editwerkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
werkzeug - INFO -  * Restarting with watchdog (windowsapi)
